0.500000	0.480989	0.019011	0.558471	0.058471	0.034429
0.500000	0.550958	0.050958	0.557979	0.057979	0.065495
0.500000	0.553719	0.053719	0.557588	0.057588	0.091860
0.500000	0.574097	0.074097	0.559455	0.059455	0.113095
0.500000	0.445559	0.054441	0.544706	0.044706	0.129489
0.500000	0.470340	0.029660	0.534166	0.034166	0.141738
0.500000	0.548281	0.048281	0.536293	0.036293	0.150667
0.500000	0.459999	0.040001	0.524310	0.024310	0.157060
0.500000	0.509715	0.009715	0.521952	0.021952	0.161577
0.500000	0.495931	0.004069	0.517665	0.017665	0.164741
0.500000	0.523197	0.023197	0.518589	0.018589	0.166943
0.500000	0.475661	0.024339	0.511357	0.011357	0.168468
0.500000	0.502412	0.002412	0.509840	0.009840	0.169521
0.500000	0.581401	0.081401	0.522023	0.022023	0.170247
0.500000	0.574915	0.074915	0.531054	0.031054	0.170746
0.500000	0.524428	0.024428	0.529921	0.029921	0.171089
0.500000	0.539113	0.039113	0.531496	0.031496	0.171325
0.500000	0.435488	0.064512	0.515032	0.015032	0.171487
0.500000	0.519254	0.019254	0.515756	0.015756	0.171598
0.500000	0.412934	0.087066	0.498104	0.001896	0.171674
0.500000	0.453720	0.046280	0.490482	0.009518	0.171726
0.500000	0.434702	0.065298	0.480901	0.019099	0.171762
0.500000	0.554752	0.054752	0.493588	0.006412	0.171787
0.500000	0.438202	0.061798	0.484072	0.015928	0.171804
0.500000	0.482170	0.017830	0.483746	0.016254	0.171815
0.500000	0.433362	0.066638	0.475089	0.024911	0.171823
0.500000	0.429586	0.070414	0.467270	0.032730	0.171829
0.500000	0.589806	0.089806	0.488326	0.011674	0.171832
0.500000	0.449286	0.050714	0.481617	0.018383	0.171835
0.500000	0.502328	0.002328	0.485176	0.014824	0.171837
